시설명,총객석수,시(도),구(군),주소
수상한거리 워십센터,80,서울,마포구,서울특별시 마포구 홍익로5길 43 (서교동)
수상한거리 2호점,80,서울,마포구,서울특별시 마포구 양화로16길 26 (서교동)
쇼킹 케이팝 센터 (ShowKing K-POP Center),0,서울,마포구,서울특별시 마포구 월드컵북로54길 25 (상암동)
소슴당인,0,서울,마포구,서울특별시 마포구 토정로4길 40-4 (합정동)
세티 라이브홀 (SETI LIVE HALL),0,서울,마포구,서울특별시 마포구 와우산로21길 31 (서교동)
세븐파이프홀,71,서울,마포구,서울특별시 강남구 논현로168길 39
성미산마을극장 향,101,서울,마포구,서울특별시 마포구 월드컵로26길 39 (성산동)
서진교회,450,서울,마포구,서울특별시 마포구 월드컵북로43길 37 (상암동)
서울월드컵경기장,66704,서울,마포구,서울특별시 마포구 월드컵로 240(성산동)
서울시산악문화체험센터,70,서울,마포구,서울특별시 마포구 하늘공원로 112(상암동)
서울생활문화센터 서교,162,서울,마포구,서울특별시 마포구 양화로 72(서교동)
서울마포음악창작소(구.뮤지스땅스),50,서울,마포구,서울특별시 마포구 마포대로 238 (아현동) 지하
서보미술문화공간 [서울],0,서울,마포구,서울특별시 마포구 월드컵북로12안길 3 (성산동)
서교스퀘어,0,서울,마포구,"서울특별시 마포구 양화로 72 (서교동, 서교동 효성 해링턴 타워)"
서강대 메리홀,528,서울,마포구,서울특별시 마포구 백범로 35 서강대학교
생츄어리(sanctuary),0,서울,마포구,서울특별시 마포구 월드컵북로 65(성산동)
생기 스튜디오,70,서울,마포구,서울특별시 마포구 와우산로 137 (서교동)
상암월드컵공원,200,서울,마포구,서울특별시 마포구 하늘공원로 108-1 (상암동) 
상설무대 우리소리소극장,100,서울,마포구,서울특별시 마포구 월드컵북로5가길 8-7 (서교동)
살롱 문보우,80,서울,마포구,서울특별시 마포구 잔다리로 113 (서교동)
살라1,0,서울,마포구,서울특별시 마포구 동교로 47 (망원동)
산울림소극장,72,서울,마포구,서울특별시 마포구 와우산로 157 (서교동)
산성교회,400,서울,마포구,서울특별시 마포구 마포대로 197-3 (아현동) 
사이드노트클럽(Side Note Club),0,서울,마포구,서울특별시 마포구 양화로 130 (서교동) 15층
사유집,0,서울,마포구,서울특별시 마포구 성미산로29길 24(연남동)
사랑하니까 이야기다,25,서울,마포구,서울특별시 마포구 동교로 240 (연남동)서울특별시 마포구 연남동  260-28 계림빌딩
빠리살롱,0,서울,마포구,서울특별시 마포구 토정로 12-7 (합정동)
비플러스엠,0,서울,마포구,서울특별시 마포구 마포대로16길 7-14 (아현동)
블루프린트,0,서울,마포구,서울특별시 마포구 독막로 67 (상수동)
블루라이트 라이브 홀,100,서울,마포구,서울특별시 마포구 어울마당로 94-8 (서교동)
불과얼음 뮤지컬 워크숍극장,80,서울,마포구,서울특별시 마포구 포은로 14 (합정동) 수성빌딩 B102호
복합문화공간 누룸,35,서울,마포구,서울특별시 마포구 동교로 181-6 (동교동)
별빛소극장,110,서울,마포구,서울특별시 마포구 와우산로 117 (서교동)
벨로주 [홍대] (구. 왓에버),123,서울,마포구,서울특별시 마포구 잔다리로 46 (서교동)
벨로주 [망원],65,서울,마포구,서울특별시 마포구 포은로 117 (망원동) 
베짱이홀,200,서울,마포구,서울특별시 마포구 독막로15길 3-12 (상수동)
박정희대통령기념재단,0,서울,마포구,서울특별시 마포구 월드컵로 386 (상암동)
문화비축기지,11180,서울,마포구,서울특별시 마포구 증산로 87 (성산동)
문화공간너나들이,50,서울,마포구,서울특별시 마포구 만리재로 123 (공덕동)
문악HOM,20,서울,마포구,서울특별시 마포구 양화로15안길 6 (서교동)
문릿아워,0,서울,마포구,서울특별시 마포구 와우산로11길 9-8 (상수동)
무신사 개러지 (구. 왓챠홀),144,서울,마포구,서울특별시 마포구 잔다리로 32(서교동)
무브홀,400,서울,마포구,서울특별시 마포구 잔다리로 32 (서교동)
무대륙,150,서울,마포구,서울특별시 마포구 토정로5길 12 (합정동)
몸소리말조아라 센터,0,서울,마포구,서울특별시 마포구 토정로15길 10-8 (신수동)
메타코미디클럽,10,서울,마포구,서울특별시 마포구 와우산로 76-1 (서교동)
맥거핀 서교,0,서울,마포구,서울특별시 마포구 양화로7길 28(서교동)
매직스트로베리사운드,30,서울,마포구,서울특별시 마포구 와우산로29길 13
마포중앙도서관,396,서울,마포구,서울특별시 마포구 성산로 128 (성산동)
마포음악창작소,50,서울,마포구,서울특별시 마포구 마포대로 지하238(아현동)
마포아트센터,1325,서울,마포구,서울특별시 마포구 대흥로20길 28 (대흥동)
마포구청,486,서울,마포구,서울특별시 마포구 월드컵로 212 (성산동)
마주 MAJU,0,서울,마포구,"서울특별시 마포구 동교로19길 102 (성산동, 엔트라움마포)"
마익스 케빈,0,서울,마포구,서울특별시 마포구 어울마당로 94-13 (서교동)
마운드미디어 스튜디오,50,서울,마포구,서울특별시 마포구 와우산로29길 20 (서교동)
마우디 스튜디오,0,서울,마포구,서울특별시 마포구 토정로 241 (신수동)
루프탑 투게더,0,서울,마포구,서울특별시 마포구 양화로21길 31 (동교동)
루끄 LOOK [홍대],0,서울,마포구,서울특별시 마포구 홍익로6길 74 (동교동)
롤링홀,200,서울,마포구,서울특별시 마포구 어울마당로 35 (서교동) 지하 1층
레드빅스페이스,100,서울,마포구,서울특별시 마포구 잔다리로6길 5 (서교동)
레드로드 (구. 걷고싶은거리),0,서울,마포구,서울특별시 마포구 어울마당로 77-1 (서교동)
러스틱재즈,0,서울,마포구,서울특별시 마포구 망원로 74 (망원동)
라이브클럽 협동조합,0,서울,마포구,서울특별시 마포구 어울마당로 61 (서교동)
라이브클럽 빵,0,서울,마포구,서울특별시 마포구 와우산로29길 12(서교동)
라이브앤라우드,70,서울,마포구,서울특별시 마포구 동교로 191(동교동)
라이브 클럽 Amp,0,서울,마포구,서울특별시 마포구 와우산로23길 8(서교동)
라디오가가홀,130,서울,마포구,서울특별시 마포구 양화로11길 54 (서교동)
라드 (L.A.D),0,서울,마포구,서울특별시 마포구 잔다리로3안길 23 (서교동)
디어라이프,0,서울,마포구,서울특별시 마포구 양화로12길 16-9 (서교동)
드림홀,150,서울,마포구,서울특별시 마포구 양화로 64 (서교동)
더 스페이스 디벙크,150,서울,마포구,서울특별시 마포구 성지1길 30 (합정동)
더 리스닝 룸,0,서울,마포구,서울특별시 마포구 동교로23길 98-9 (연남동)
대안공간 루프,0,서울,마포구,서울특별시 마포구 와우산로29나길 20 (서교동)
당신의 여름,50,서울,마포구,서울특별시 마포구 연남로3길 43-6 (연남동)
달콤한음악실,50,서울,마포구,"서울특별시 마포구 양화로6길 57-13 (서교동, 동궁빌리지) 202호"
단밤스튜디오,0,서울,마포구,서울특별시 마포구 월드컵북로5가길 30 (서교동) 1층
다리 소극장,200,서울,마포구,서울특별시 마포구 월드컵북로2길 49(동교동)
뉴미들클래스 [공덕],0,서울,마포구,서울특별시 마포구 마포대로14가길 23 (공덕동)
네스트나다,70,서울,마포구,서울특별시 마포구 와우산로29길 15 (서교동) 2층
난지한강공원,0,서울,마포구,서울특별시 마포구 한강난지로 162 (상암동)
나비카페,0,서울,마포구,서울특별시 마포구 고산2길 6 (노고산동)
긱라이브하우스,50,서울,마포구,서울특별시 마포구 신촌로10길 7(동교동)
글로리펍앤카페,40,서울,마포구,서울특별시 마포구 잔다리로3안길 31 (서교동)
구름아래소극장,200,서울,마포구,서울특별시 마포구 와우산로29가길 15 (서교동)
공상온도,80,서울,마포구,서울특별시 마포구 동교로23길 40 (동교동) 
공덕교회,1000,서울,마포구,서울특별시 마포구 마포대로11길 30 (공덕동) 
공간 비틀즈,50,서울,마포구,서울특별시 마포구 와우산로29길 27 (서교동)
고라니 특공대,0,서울,마포구,서울특별시 마포구 토정로 136(상수동)
갤러리99,0,서울,마포구,서울특별시 마포구 홍익로 5-1 (서교동)
가톨릭청년회관,200,서울,마포구,서울특별시 마포구 월드컵북로2길 49 (동교동)
가온스테이지,100,서울,마포구,서울특별시 마포구 잔다리로 59(서교동)
gaga77page,30,서울,마포구,서울특별시 마포구 와우산로15길 50 (서교동)
We.AN (갤러리위안),0,서울,마포구,서울특별시 마포구 양화로16길 14-16(서교동)
The Nora stage Y(더노라 스테이지와이),100,서울,마포구,서울특별시 마포구 와우산로29바길 19 (서교동) 1층
TOUCH FIVE 전용관,0,서울,마포구,서울특별시 마포구 와우산로 76-1 (서교동)
TJR-15,75,서울,마포구,서울특별시 마포구 토정로 15 (합정동)
SPACE SODA2002,70,서울,마포구,서울특별시 마포구 희우정로5길 29 (합정동)
SJ비보이극장(구. 비보이전용극장),356,서울,마포구,서울특별시 마포구 와우산로 121 (서교동)
SILICA GEL VINYL POP-UP,100,서울,마포구,서울특별시 마포구 와우산로33길 27 (서교동)
OTO PROJECT,30,서울,마포구,서울특별시 마포구 와우산로 120 (창전동) 정일빌딩 지하 1층
NVM,0,서울,마포구,서울특별시 마포구 동교로22길 14(서교동)
NB2,310,서울,마포구,서울특별시 마포구 와우산로 72 (서교동)
MKYU 캠퍼스,0,서울,마포구,서울특별시 마포구 와우산로23길 8(서교동)
MHN STAGE,80,서울,마포구,서울특별시 마포구 와우산로 117 (서교동)
M50클럽,0,서울,마포구,서울특별시 마포구 월드컵북로6길 60 (동교동)
LIG아트홀 [합정],138,서울,마포구,서울특별시 마포구 양화로 19 (합정동)
Kuonechan Object Vinyl Sign Event,100,서울,마포구,서울특별시 마포구 와우산로33길 27 (서교동)
KT&G 상상마당 라이브홀 [마포],226,서울,마포구,서울특별시 마포구 어울마당로 65 (서교동)
K-POP STAGE (구. 윤형빈소극장 [홍대] ),0,서울,마포구,서울특별시 마포구 와우산로21길 29 (서교동)
JDB스퀘어,120,서울,마포구,서울특별시 마포구 잔다리로 31 (서교동)
H-스테이지,100,서울,마포구,서울특별시 마포구 와우산로 97(서교동)
G스페이스홀 (지스페이스홀),73,서울,마포구,서울특별시 마포구 포은로 14 (합정동)
GBB스페이스홀 (구. 임혁필소극장),100,서울,마포구,서울특별시 마포구 포은로 14 (합정동)
DSM 아트홀,0,서울,마포구,서울특별시 마포구 독막로3길 45 (서교동)
DGT 아트센터,60,서울,마포구,서울특별시 마포구 독막로 308 (염리동)
Cafe vave(베이브),0,서울,마포구,서울특별시 마포구 월드컵북로4길 29 (동교동)
CLUB bender(클럽 벤더),0,서울,마포구,서울특별시 마포구 와우산로14길 4 (상수동) 지하1층
CLUB VICTIM,0,서울,마포구,서울특별시 마포구 와우산로 53 (상수동)
CJ아지트 광흥창,250,서울,마포구,서울특별시 마포구 창전로 14 (신정동) CJ아지트
BRST STUDIO,0,서울,마포구,서울특별시 마포구 와우산로18길 30 (서교동)
